id_depto_indec_residencia;departamento_residencia;id_prov_indec_residencia;provincia_residencia;anio_min;evento;id_grupo_etario;grupo_etario;sepi_min;cantidad
007;Burruyacú;90;Tucumán;2023;Dengue;11;De 45 a 65 años;16;12
014;COMUNA 14;02;CABA;2023;Dengue;11;De 45 a 65 años;16;20
274;Florencio Varela;06;Buenos Aires;2023;Dengue;2;Posneonato (29 hasta 365 días);16;1
056;El Alto;10;Catamarca;2023;Dengue;10;De 35 a 44 años;16;1
012;COMUNA 12;02;CABA;2023;Dengue;9;De 25 a 34 años;16;5
035;Ledesma;38;Jujuy;2023;Dengue;10;De 35 a 44 años;16;5
840;Tres de Febrero;06;Buenos Aires;2023;Dengue;10;De 35 a 44 años;16;31
077;9 de Julio;82;Santa Fe;2023;Dengue;11;De 45 a 65 años;16;8
077;Libertador Grl. San Martín;54;Misiones;2023;Dengue;5;De 5 a 9 años;16;1
007;Almirante Brown;22;Chaco;2023;Dengue;10;De 35 a 44 años;16;2
007;Bella Vista;18;Corrientes;2023;Dengue;11;De 45 a 65 años;16;1
112;Trancas;90;Tucumán;2023;Dengue;11;De 45 a 65 años;16;5
568;Morón;06;Buenos Aires;2023;Dengue;3;De 13 a 24 meses;16;1
070;La Paz;10;Catamarca;2023;Dengue;8;De 20 a 24 años;16;1
154;Sargento Cabral;22;Chaco;2023;Dengue;10;De 35 a 44 años;16;1
049;Capital;10;Catamarca;2023;Dengue;5;De 5 a 9 años;16;2
112;Trancas;90;Tucumán;2023;Dengue;8;De 20 a 24 años;16;2
049;General Obligado;82;Santa Fe;2023;Dengue;11;De 45 a 65 años;16;317
126;Saladas;18;Corrientes;2023;Dengue;7;De 15 a 19 años;16;1
035;Graneros;90;Tucumán;2023;Dengue;6;De 10 a 14 años;16;1
049;General Güemes;66;Salta;2023;Dengue;12;Mayores de 65 años;16;9
008;Colón;30;Entre Ríos;2023;Dengue;6;De 10 a 14 años;16;1
091;Simoca;90;Tucumán;2023;Dengue;10;De 35 a 44 años;16;2
147;Rosario de Lerma;66;Salta;2023;Dengue;10;De 35 a 44 años;16;1
539;Merlo;06;Buenos Aires;2023;Dengue;10;De 35 a 44 años;16;9
175;Tulumba;14;Córdoba;2023;Dengue;10;De 35 a 44 años;16;1
999;desconocido;99;desconocida;2023;Dengue;12;Mayores de 65 años;16;4
134;Cañuelas;06;Buenos Aires;2023;Dengue;11;De 45 a 65 años;16;2
042;Chilecito;46;La Rioja;2023;Dengue;10;De 35 a 44 años;16;1
861;Vicente López;06;Buenos Aires;2023;Dengue;9;De 25 a 34 años;16;4
126;Orán;66;Salta;2023;Dengue;6;De 10 a 14 años;16;20
014;Cruz Alta;90;Tucumán;2023;Dengue;6;De 10 a 14 años;16;12
084;Capital;90;Tucumán;2023;Dengue;1;Neonato (hasta 28 días);16;1
021;Castellanos;82;Santa Fe;2023;Dengue;9;De 25 a 34 años;16;46
133;Vera;82;Santa Fe;2023;Dengue;9;De 25 a 34 años;16;2
010;COMUNA 10;02;CABA;2023;Dengue;4;De 2 a 4 años;16;2
119;Paso de los Libres;18;Corrientes;2023;Dengue;9;De 25 a 34 años;16;1
077;9 de Julio;82;Santa Fe;2023;Dengue;7;De 15 a 19 años;16;7
133;San Cosme;18;Corrientes;2023;Dengue;11;De 45 a 65 años;16;7
112;Yavi;38;Jujuy;2023;Dengue;11;De 45 a 65 años;16;1
070;Monteros;90;Tucumán;2023;Dengue;12;Mayores de 65 años;16;2
014;Cruz Alta;90;Tucumán;2023;Dengue;2;Posneonato (29 hasta 365 días);16;3
070;Independencia;22;Chaco;2023;Dengue;11;De 45 a 65 años;16;4
021;Capital;42;La Pampa;2023;Dengue;9;De 25 a 34 años;16;1
014;Capital;46;La Rioja;2023;Dengue;7;De 15 a 19 años;16;2
147;Río Hondo;86;Santiago del Estero;2023;Dengue;11;De 45 a 65 años;16;5
410;Ituzaingó;06;Buenos Aires;2023;Dengue;7;De 15 a 19 años;16;2
560;Moreno;06;Buenos Aires;2023;Dengue;10;De 35 a 44 años;16;6
028;Constitución;82;Santa Fe;2023;Dengue;9;De 25 a 34 años;16;1
133;San Cosme;18;Corrientes;2023;Dengue;12;Mayores de 65 años;16;3
434;Lanús;06;Buenos Aires;2023;Dengue;7;De 15 a 19 años;16;3
189;Silípica;86;Santiago del Estero;2023;Dengue;11;De 45 a 65 años;16;2
999;desconocido;02;CABA;2023;Dengue;12;Mayores de 65 años;16;1
035;Belén;10;Catamarca;2023;Dengue;11;De 45 a 65 años;16;1
035;Confluencia;58;Neuquén;2023;Dengue;11;De 45 a 65 años;16;2
623;Pergamino;06;Buenos Aires;2023;Dengue;8;De 20 a 24 años;16;1
007;Anta;66;Salta;2023;Dengue;8;De 20 a 24 años;16;15
028;Humahuaca;38;Jujuy;2023;Dengue;10;De 35 a 44 años;16;1
014;Cruz Alta;90;Tucumán;2023;Dengue;7;De 15 a 19 años;16;18
007;Burruyacú;90;Tucumán;2023;Dengue;12;Mayores de 65 años;16;2
014;Formosa;34;Formosa;2023;Dengue;12;Mayores de 65 años;16;1
049;General Obligado;82;Santa Fe;2023;Dengue;10;De 35 a 44 años;16;196
014;Capital;46;La Rioja;2023;Dengue;11;De 45 a 65 años;16;8
028;Chacabuco;22;Chaco;2023;Dengue;5;De 5 a 9 años;16;1
133;Pellegrini;86;Santiago del Estero;2023;Dengue;5;De 5 a 9 años;16;1
098;Santa Rosa;10;Catamarca;2023;Dengue;6;De 10 a 14 años;16;1
568;Morón;06;Buenos Aires;2023;Dengue;9;De 25 a 34 años;16;12
098;Juan F. Ibarra;86;Santiago del Estero;2023;Dengue;8;De 20 a 24 años;16;2
014;Capital;14;Córdoba;2023;Dengue;8;De 20 a 24 años;16;113
070;Independencia;22;Chaco;2023;Dengue;12;Mayores de 65 años;16;2
021;Capital;18;Corrientes;2023;Dengue;8;De 20 a 24 años;16;6
410;Ituzaingó;06;Buenos Aires;2023;Dengue;8;De 20 a 24 años;16;2
035;Patiño;34;Formosa;2023;Dengue;12;Mayores de 65 años;16;3
112;Mitre;86;Santiago del Estero;2023;Dengue;11;De 45 a 65 años;16;1
371;General San Martín;06;Buenos Aires;2023;Dengue;11;De 45 a 65 años;16;10
042;Juan Bautista Alberdi;90;Tucumán;2023;Dengue;5;De 5 a 9 años;16;5
260;Esteban Echeverría;06;Buenos Aires;2023;Dengue;11;De 45 a 65 años;16;5
119;Río Segundo;14;Córdoba;2023;Dengue;10;De 35 a 44 años;16;5
015;COMUNA 15;02;CABA;2023;Dengue;8;De 20 a 24 años;16;4
133;Quitilipi;22;Chaco;2023;Dengue;9;De 25 a 34 años;16;4
410;Ituzaingó;06;Buenos Aires;2023;Dengue;12;Mayores de 65 años;16;1
077;General Taboada;86;Santiago del Estero;2023;Dengue;11;De 45 a 65 años;16;2
070;Las Colonias;82;Santa Fe;2023;Dengue;7;De 15 a 19 años;16;1
224;Chivilcoy;06;Buenos Aires;2023;Dengue;9;De 25 a 34 años;16;1
014;El Carmen;38;Jujuy;2023;Dengue;4;De 2 a 4 años;16;2
588;9 de Julio;06;Buenos Aires;2023;Dengue;10;De 35 a 44 años;16;1
007;Belgrano;82;Santa Fe;2023;Dengue;9;De 25 a 34 años;16;2
028;Famaillá;90;Tucumán;2023;Dengue;7;De 15 a 19 años;16;7
063;La Capital;82;Santa Fe;2023;Dengue;12;Mayores de 65 años;16;17
063;General Güemes;22;Chaco;2023;Dengue;8;De 20 a 24 años;16;4
084;Paraná;30;Entre Ríos;2023;Dengue;9;De 25 a 34 años;16;13
999;desconocido;02;CABA;2023;Dengue;8;De 20 a 24 años;16;2
098;Santa Rosa;10;Catamarca;2023;Dengue;9;De 25 a 34 años;16;4
999;desconocido;99;desconocida;2023;Dengue;9;De 25 a 34 años;16;10
371;General San Martín;06;Buenos Aires;2023;Dengue;5;De 5 a 9 años;16;3
013;COMUNA 13;02;CABA;2023;Dengue;8;De 20 a 24 años;16;2
274;Florencio Varela;06;Buenos Aires;2023;Dengue;4;De 2 a 4 años;16;1
999;desconocido;99;desconocida;2023;Dengue;8;De 20 a 24 años;16;5
006;COMUNA 6;02;CABA;2023;Dengue;8;De 20 a 24 años;16;2
028;Capital;66;Salta;2023;Dengue;6;De 10 a 14 años;16;14
049;La Cocha;90;Tucumán;2023;Dengue;7;De 15 a 19 años;16;1
112;Metán;66;Salta;2023;Dengue;8;De 20 a 24 años;16;4
039;2 de Abril;22;Chaco;2023;Dengue;10;De 35 a 44 años;16;1
999;desconocido;14;Córdoba;2023;Dengue;10;De 35 a 44 años;16;1
007;Anta;66;Salta;2023;Dengue;7;De 15 a 19 años;16;17
063;Lules;90;Tucumán;2023;Dengue;10;De 35 a 44 años;16;23
119;Presidencia de la Plaza;22;Chaco;2023;Dengue;12;Mayores de 65 años;16;2
091;Oberá;54;Misiones;2023;Dengue;12;Mayores de 65 años;16;1
007;Almirante Brown;22;Chaco;2023;Dengue;9;De 25 a 34 años;16;2
